Strain;Aislado;Matriz;Planta;MSC ;Composición;PHA
MCo14;14;Tejido;Col;1.12;100;0.393
MCo14;14;Tejido;Col;1.07;100;0.622
MCo14;14;Tejido;Col;1.33;100;0.382
HY30;30;Harina;Yuca;1.09;100;0.305
HY30;30;Harina;Yuca;1.15;100;0.184
HY30;30;Harina;Yuca;1.16;100;0.194
SB34;34;Suelo;Banano;1.22;100;10.967
SB34;34;Suelo;Banano;1.19;100;17.873
SB34;34;Suelo;Banano;1.27;100;18.223
SY53;53;Suelo;Yuca;1.19;100;3.692
SY53;53;Suelo;Yuca;1.18;100;5.496
SY53;53;Suelo;Yuca;1.17;100;5.338
SY54;54;Suelo;Yuca;1.25;100;10.421
SY54;54;Suelo;Yuca;1.21;100;15.318
SY54;54;Suelo;Yuca;1.13;100;11.547
MT60;60;Tejido;Tomate;1.21;100;8.461
MT60;60;Tejido;Tomate;1.17;100;7.096
MT60;60;Tejido;Tomate;1.07;100;6.498
R. eutropha H16;1;Referencia;Referencia;1.18;100;15.683
R. eutropha H16;1;Referencia;Referencia;1.16;100;16.976
R. eutropha H16;1;Referencia;Referencia;1.26;100;14.535
B. sacchari LFM 101;2;Referencia;Referencia;1.14;100;9.323
B. sacchari LFM 101;2;Referencia;Referencia;1.1;100;7.82
B. sacchari LFM 101;2;Referencia;Referencia;1.18;100;5.652
